question,answer,supporting_facts/0,supporting_facts/1,graph_path/0,graph_path/1,graph_path/2,graph_path/3,template,Corrected Questions,Comment 
,,,,,,,Anjali,,,
"Which dish, famous for biryani made with basmati rice and meat (mostly goat meat), is located in the capital city of the state where the personality “Tabu (actress)” (known for indian actress who works primarily in hindi and telugu films) is associated?",Hyderabadi Biryani,"An Indian actress who works primarily in Hindi and Telugu films,regarded as one of Hindi cinema's most accomplished actresses.She has often played troubled women, from fictional to literary, in both mainstream and independent cinema",A style of biryani made with basmati rice and meat (mostly goat meat),personalities:tabu_actress,state:telangana,city:hyderabad,cuisine:hyderabadi_biryani,cap_v1,"Which dish, famous for biryani made with basmati rice and meat (mostly goat meat), is located in the capital city of the state where the personality Tabu, an Indian actress who works primarily in Hindi and Telugu films, is associated?",Removed the explanatory bracket after Tabu since her profession and film industry are already clear in the question.
"Which personality, famous for leading bollywood actress of the mid 1980s and mid 1990s, is located in the capital city of the state where the palace “Paigah Palace” (known for this was built after he gave the famous falaknuma palace to the) is associated?",Farah (actress),"A palace was built by Sir Vicar-ul-Umra, a Paigah nobleman. This was built after he gave the famous Falaknuma Palace to the sixth Nizam, Mahbub Ali Khan, Asaf Jah VI.","A leading Bollywood actress of the mid 1980s and Mid 1990s,made her debut in Faasle in 1985 under the Yash Chopra films banner.",history:paigah_palace,state:telangana,city:hyderabad,personalities:farah_actress,cap_v1,"Which personality, famous for being a leading Bollywood actress of the mid-1980s and mid-1990s, is located in the capital city of the state where the palace Paigah Palace is associated?",Cut the historical note about Paigah Palace’s gifting as it distracted from the main link.
"Which personality, famous for leading bollywood actress of the mid 1980s and mid 1990s, is located in the capital city of the state where the religious tradition “Birla Mandir, Hyderabad” (known for hindu temple built on a 280 feet (85 m) high hillock called) is associated?",Farah (actress),"A Hindu temple built on a 280 feet (85 m) high hillock called Naubath Pahad on a 13 acres (53,000 m2)","A leading Bollywood actress of the mid 1980s and Mid 1990s,made her debut in Faasle in 1985 under the Yash Chopra films banner.",religion:birla_mandir_hyderabad,state:telangana,city:hyderabad,personalities:farah_actress,cap_v1,"Which personality, famous for being a leading Bollywood actress of the mid-1980s and mid-1990s, is located in the capital city of the state where the religious tradition Birla Mandir, Hyderabad is associated?",Removed the bracket describing Birla Mandir’s hillock location since it was extra factual detail unrelated to the question’s intent.
"Which personality, famous for indian politician currently representing the gajwel assembly constituency and serving as the, is located in the capital city of the state where the historic site “Errum Manzil” (known for 19thâ€‘century palace with european-style architecture) is associated?",K Chandrasekhar Rao,"A 19thâ€‘century palace with European-style architecture, now a government office.",An Indian politician currently representing the Gajwel Assembly constituency and serving as the leader of the opposition in the Telangana Legislative Assembly.He is the founder and leader of the Bharat Rashtra Samithi,history:errum_manzil,state:telangana,city:hyderabad,personalities:k_chandrasekhar_rao,cap_v1,"Which personality, famous for being an Indian politician currently representing the Gajwel Assembly constituency, is located in the capital city of the state where the historic site Errum Manzil is associated?",Removed the bracket describing Errum Manzil’s European-style architecture because it was unnecessary descriptive context.
"Which tourist attraction, famous for urban park of 15 hectares (36 acres) adjacent to hussain sagar lake, is located in the capital city of the state where the personality “Sushmita Sen” (known for indian actress and beauty pageant titleholder) is associated?",NTR Gardens,"An Indian actress and beauty pageant titleholder, who was crowned Miss Universe 1994,becoming the first Indian woman to win the title. Sen has since predominantly worked in Hindi films, and is a recipient of a Filmfare Award and a Filmfare OTT Award.","A small public, urban park of 15 hectares (36 acres) adjacent to Hussain Sagar lake, where earlier a thermal power station building stood until 1995.",personalities:sushmita_sen,state:telangana,city:hyderabad,tourism:ntr_gardens,cap_v1,"Which tourist attraction, famous for its urban park of 15 hectares adjacent to Hussain Sagar Lake, is located in the capital city of the state where the personality Sushmita Sen, an Indian actress and beauty pageant titleholder, is associated?",Stripped out the after-note on Sushmita Sen; it was repeating her known credentials.
"Which art piece, famous for tibetan buddhist religious scroll painting found hanging in monasteries and in sikkimese, is located in the capital city of the state where the tourist attraction “Do-drul Chorten” (known for inside this stupa is a complete set of dorjee phurba) is associated?",Thanka Painting,"A stupa inside this stupa is a complete set of Dorjee Phurba, Kangyur (Holy Books) and other religious objects","A Tibetan Buddhist religious scroll painting found hanging in monasteries and in Sikkimese homes, on cotton or silk, bordered with brocade and often dyes together with gold dust and gold thread",tourism:do_drul_chorten,state:sikkim,city:gangtok,art:thanka_painting,cap_v1,"Which art piece, famous for Tibetan Buddhist religious scroll painting found hanging in monasteries in Sikkim, is located in the capital city of the state where the tourist attraction Do-drul Chorten is associated?","Removed the bracket explaining Do-drul Chorten’s contents because it was detailed temple information, not needed."
"Which mosque, famous for located near purana pul, is located in the capital city of the state where the personality “Dia Mirza” (known for indian actress who primarily works in hindi films) is associated?",Mian Mishk Mosque,"An Indian actress who primarily works in Hindi films, won the title of Miss Asia Pacific International in 2000 after being crowned Femina Miss India Asia Pacific 2000. Mirza made her acting debut with the Hindi film Rehnaa Hai Terre Dil Mein (2001), which earned her the Filmfare Award for Best Female Debut nomination.","A former mosque,located near Purana Pul",personalities:dia_mirza,state:telangana,city:hyderabad,religion:mian_mishk_mosque,cap_v1,"Which mosque, famous for being located near Purana Pul, is located in the capital city of the state where the personality Dia Mirza, an Indian actress who primarily works in Hindi films, is associated?",Deleted the “located near Purana Pul” because the mosque’s placement was already noted.
"Which sport, famous for indian former international cricketer and a former cricket commentator and pundit, is located in the capital city of the state where the mosque “Mian Mishk Mosque” (known for located near purana pul) is associated?",VVS Laxman,"A former mosque,located near Purana Pul","An Indian former international cricketer and a former cricket commentator and pundit.A right-handed batsman known for his elegant stroke play,played as a middle-order batsman in Test cricket,currently the Head of Cricket at the National Cricket Academy (NCA), and the head coach of the India Under-19 and India A teams.",religion:mian_mishk_mosque,state:telangana,city:hyderabad,sports:vvs_laxman,cap_v1,"Which sport, famous for an Indian former international cricketer and commentator, is located in the capital city of the state where the mosque Mian Mishk Mosque is associated?",Removed the bracket about Mian Mishk Mosque’s location since it repeated what was already said.
"Which tourist attraction, famous for zoo located near mir alam tank in bahadurpura, is located in the capital city of the state where the art piece “Cheriyal scroll painting” (known for stylized religious cloth-scroll paintings) is associated?",Nehru Zoological Park,"A stylized religious cloth-scroll paintings,the scrolls are painted in a narrative format, much like a film roll or a comic strip, depicting stories from Indian mythology,and intimately tied to the shorter stories from the Puranas and Epics",A zoo located near Mir Alam Tank in Bahadurpura.It is one of the most visited destinations.,art:cheriyal_scroll_painting,state:telangana,city:hyderabad,tourism:nehru_zoological_park,cap_v1,"Which tourist attraction, famous for its zoo located near Mir Alam Tank in Bahadurpura, is located in the capital city of the state where the art piece Cheriyal scroll painting is associated?","Removed the bracket about Cheriyal scroll painting style as it was descriptive detail, not necessary for the Q-A link."
